name,full_name,tag,id,base,base_name,second,second_name
XPT/USD,XPT/USD - Platinum Spot US Dollar,xpt-usd,1043107,XPT,Platinum Spot,USD,US Dollar
XPD/USD,XPD/USD - Palladium Spot US Dollar,xpd-usd,1043108,XPD,Palladium Spot,USD,US Dollar
